id,name,link
accommodation_ChIJTwM5zgjjNDER_isjEzjBSk8,Forest In The Sky Resort,https://www.google.com/maps/place/Forest+In+The+Sky+Resort/data=!4m10!3m9!1s0x3134e308ce39034f:0x4f4ac13813232bfe!5m2!4m1!1i2!8m2!3d21.3449938!4d105.7177867!16s%2Fg%2F11rn4pr9xt!19sChIJTwM5zgjjNDER_isjEzjBSk8?authuser=0&hl=en&rclk=1
accommodation_ChIJv6YldHCrNTERMyZ9gOj74zA,Fortuna Hotel Hanoi,https://www.google.com/maps/place/Fortuna+Hotel+Hanoi/data=!4m10!3m9!1s0x3135ab7abaa6b3c7:0x30e3fbe8807d2633!5m2!4m1!1i2!8m2!3d21.021336!4d105.818041!16s%2Fg%2F1tfvwmfp!19sChIJx7OmunqrNTERMyZ9gOj74zA?authuser=0&hl=en&rclk=1
accommodation_ChIJm-T4z9OqNTER2hNtdRMKHwc,Fraser Residence Hanoi,https://www.google.com/maps/place/Fraser+Residence+H%C3%A0+N%E1%BB%99i/data=!4m7!3m6!1s0x3135aad3cff8e49b:0x71f0a13756d13da!8m2!3d21.067057!4d105.788537!16s%2Fg%2F11f4qzw9xh!19sChIJm-T4z9OqNTER2hNtdRMKHwc?authuser=0&hl=en&rclk=1
accommodation_ChIJ1WLEgsCrNTERR9E4L1YWtQM,GA Hostel & Travel,https://www.google.com/maps/place/GA+Hostel+%26+Travel/data=!4m10!3m9!1s0x3135abc082c462d5:0x3b516562f38d147!5m2!4m1!1i2!8m2!3d21.033963!4d105.8526932!16s%2Fg%2F11bw7g92yz!19sChIJ1WLEgsCrNTERR9E4L1YWtQM?authuser=0&hl=en&rclk=1
accommodation_ChIJUeZ-dapUNDERy79QlBOVlTs,Glory Hotel,https://www.google.com/maps/place/Glory+Hotel/data=!4m10!3m9!1s0x313454aa757ee651:0x3b9595139450bfcb!5m2!4m1!1i2!8m2!3d21.0138232!4d105.7812076!16s%2Fg%2F11f5ly6_52!19sChIJUeZ-dapUNDERy79QlBOVlTs?authuser=0&hl=en&rclk=1
accommodation_ChIJzdEkFof1NDERy4aaO7iKr9E,Glory Resort,https://www.google.com/maps/place/Glory+Resort/data=!4m10!3m9!1s0x3134f5871624d1cd:0xd1af8ab83b9a86cb!5m2!4m1!1i2!8m2!3d21.1422125!4d105.453619!16s%2Fg%2F11fq18tvyp!19sChIJzdEkFof1NDERy4aaO7iKr9E?authuser=0&hl=en&rclk=1
accommodation_ChIJeTTzfEmrNTER71hoP5NaEKg,GM Premium Hotel Hanoi,https://www.google.com/maps/place/GM+Premium+Hotel+Hanoi/data=!4m10!3m9!1s0x3135ab497cf33479:0xa8105a933f6858ef!5m2!4m1!1i2!8m2!3d21.0307869!4d105.8482632!16s%2Fg%2F11l1q94gx1!19sChIJeTTzfEmrNTER71hoP5NaEKg?authuser=0&hl=en&rclk=1
accommodation_ChIJwUMwlL6rNTERpdgBC_Q9PPg,Golden Art Hotel,https://www.google.com/maps/place/Golden+Art+Hotel/data=!4m10!3m9!1s0x3135abbe9446a6a5:0xf83c3df40b01d8a5!5m2!4m1!1i2!8m2!3d21.034987!4d105.847858!16s%2Fg%2F11c1xfq1v5!19sChIJpaZGlL6rNTERpdgBC_Q9PPg?authuser=0&hl=en&rclk=1
accommodation_ChIJl-xTpmmrNTERrpkKD3_TgEQ,Golden Sun Hotel,https://www.google.com/maps/place/Golden+Sun+Hotel/data=!4m10!3m9!1s0x3135abbe4c5fbcaf:0x4480d37f0f0a99ae!5m2!4m1!1i2!8m2!3d21.03265!4d105.849389!16s%2Fg%2F11r_54rxcf!19sChIJr7xfTL6rNTERrpkKD3_TgEQ?authuser=0&hl=en&rclk=1
accommodation_ChIJk4eWFgVVNDERkUQFPbopeYc,Grace Hotel & Spa,https://www.google.com/maps/place/Grace+Hotel+%26+Spa/data=!4m10!3m9!1s0x3134550516968793:0x877929ba3d054491!5m2!4m1!1i2!8m2!3d21.017713!4d105.7777713!16s%2Fg%2F11rgx1sf2h!19sChIJk4eWFgVVNDERkUQFPbopeYc?authuser=0&hl=en&rclk=1
